DATE,WILLREITIND
2004-11-12,3684.34
2004-11-15,3722.47
2004-11-16,3687.18
2004-11-17,3604.84
2004-11-18,3606.52
2004-11-19,3558.86
2004-11-22,3580.70
2004-11-23,3622.74
2004-11-24,3674.04
2004-11-25,.
2004-11-26,3657.95
2004-11-29,3648.18
2004-11-30,3667.02
2004-12-01,3740.04
2004-12-02,3705.03
2004-12-03,3769.16
2004-12-06,3790.38
2004-12-07,3728.80
2004-12-08,3744.91
2004-12-09,3775.52
2004-12-10,3804.48
2004-12-13,3798.16
2004-12-14,3787.95
2004-12-15,3807.92
2004-12-16,3762.93
2004-12-17,3803.59
2004-12-20,3799.19
2004-12-21,3834.38
2004-12-22,3857.79
2004-12-23,3819.84
2004-12-24,.
2004-12-27,3814.92
2004-12-28,3829.03
2004-12-29,3849.99
2004-12-30,3865.80
2004-12-31,3857.25
2005-01-03,3808.45
2005-01-04,3759.92
2005-01-05,3618.97
2005-01-06,3646.50
2005-01-07,3648.88
2005-01-10,3635.09
2005-01-11,3591.92
2005-01-12,3575.71
2005-01-13,3594.00
2005-01-14,3623.98
2005-01-17,.
2005-01-18,3670.76
2005-01-19,3681.83
2005-01-20,3655.18
2005-01-21,3656.33
2005-01-24,3627.30
2005-01-25,3550.18
2005-01-26,3552.02
2005-01-27,3511.74
2005-01-28,3530.41
2005-01-31,3517.04
2005-02-01,3542.37
2005-02-02,3580.43
2005-02-03,3582.66
2005-02-04,3643.77
2005-02-07,3627.81
2005-02-08,3639.05
2005-02-09,3666.56
2005-02-10,3683.49
2005-02-11,3703.75
2005-02-14,3704.06
2005-02-15,3720.96
2005-02-16,3739.32
2005-02-17,3738.90
2005-02-18,3705.38
2005-02-21,.
2005-02-22,3610.68
2005-02-23,3596.56
2005-02-24,3589.66
2005-02-25,3659.27
2005-02-28,3630.54
2005-03-01,3669.05
2005-03-02,3649.20
2005-03-03,3667.87
2005-03-04,3740.99
2005-03-07,3765.44
2005-03-08,3739.08
2005-03-09,3626.03
2005-03-10,3664.76
2005-03-11,3614.67
2005-03-14,3671.71
2005-03-15,3661.84
2005-03-16,3619.43
2005-03-17,3656.14
2005-03-18,3635.31
2005-03-21,3613.87
2005-03-22,3552.57
2005-03-23,3532.56
2005-03-24,3548.18
2005-03-25,.
2005-03-28,3527.45
2005-03-29,3534.56
2005-03-30,3582.43
2005-03-31,3575.54
2005-04-01,3572.73
2005-04-04,3558.38
2005-04-05,3554.82
2005-04-06,3575.14
2005-04-07,3607.66
2005-04-08,3582.38
2005-04-11,3591.72
2005-04-12,3644.99
2005-04-13,3645.99
2005-04-14,3621.47
2005-04-15,3617.24
2005-04-18,3628.79
2005-04-19,3649.62
2005-04-20,3632.07
2005-04-21,3651.82
2005-04-22,3668.58
2005-04-25,3717.92
2005-04-26,3716.32
2005-04-27,3752.26
2005-04-28,3731.12
2005-04-29,3790.21
2005-05-02,3780.47
2005-05-03,3774.41
2005-05-04,3807.51
2005-05-05,3836.34
2005-05-06,3799.32
2005-05-09,3873.56
2005-05-10,3866.97
2005-05-11,3874.03
2005-05-12,3839.55
2005-05-13,3806.40
2005-05-16,3851.14
2005-05-17,3873.71
2005-05-18,3918.12
2005-05-19,3968.19
2005-05-20,3981.81
2005-05-23,3985.20
2005-05-24,3932.11
2005-05-25,3880.19
2005-05-26,3865.27
2005-05-27,3887.57
2005-05-30,.
2005-05-31,3915.62
2005-06-01,3966.84
2005-06-02,3954.38
2005-06-03,3951.71
2005-06-06,3988.13
2005-06-07,4024.57
2005-06-08,4045.20
2005-06-09,4044.35
2005-06-10,4044.22
2005-06-13,4063.74
2005-06-14,4104.40
2005-06-15,4105.28
2005-06-16,4108.31
2005-06-17,4157.92
2005-06-20,4147.10
2005-06-21,4107.96
2005-06-22,4105.66
2005-06-23,4100.83
2005-06-24,4081.75
2005-06-27,4075.80
